original_path,final_path
Guibourtia ehie/sub_009/Guibourtia ehie_PVFM153_6_(225).png,train/Guibourtia ehie/Guibourtia ehie_PVFM153_6_(225).png
Afzelia bella/sub_020/Afzelia bella_HYBT691_(139).png,train/Afzelia bella/Afzelia bella_HYBT691_(139).png
Guibourtia ehie/sub_011/Guibourtia ehie_QAMZ768_7_(272).png,train/Guibourtia ehie/Guibourtia ehie_QAMZ768_7_(272).png
Peltogyne pubescens/sub_045/3377. Peltogyne pubescens.4 (141).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.4 (141).png
Pterocarpus macrocarpus/sub_001/10.png,train/Pterocarpus macrocarpus/10.png
Pterocarpus sp/sub_023/113_1.png,train/Pterocarpus sp/113_1.png
Dalbergia melanoxylon/sub_030/3352. Dalbergia melanoxylon.10.(270).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.10.(270).png
Afzelia bella/sub_032/Afzelia bella_AMRX692_(78).png,train/Afzelia bella/Afzelia bella_AMRX692_(78).png
Pterocarpus macrocarpus/sub_028/134_1.png,train/Pterocarpus macrocarpus/134_1.png
Dalbergia rimosa/sub_016/3414. Dalbergia rimosa.7 (200).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.7 (200).png
Sindora cochinchinensis/sub_030/gụ63.png,train/Sindora cochinchinensis/gụ63.png
Pterocarpus sp/sub_069/18_1.png,train/Pterocarpus sp/18_1__5d7cb049.png
Pterocarpus indicus/sub_001/3395. Pterocarpus indicus.6 (168).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.6 (168).png
Afzelia africana/sub_035/doussie60.png,train/Afzelia africana/doussie60.png
Dalbergia tonkinensis/sub_003/3353. Dalbergia tonkinensis.10.(316).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.10.(316).png
Pterocarpus sp/sub_066/125_4.png,train/Pterocarpus sp/125_4.png
Pterocarpus macrocarpus/sub_030/112_1.png,train/Pterocarpus macrocarpus/112_1.png
Pterocarpus sp/sub_012/159_1_1.png,train/Pterocarpus sp/159_1_1.png
Pterocarpus macrocarpus/sub_014/14_4.png,train/Pterocarpus macrocarpus/14_4.png
Guibourtia coleosperma/sub_062/Guibourtia coleosperma_3253.4 (14).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.4 (14).png
Dalbergia cochinchinensis/sub_031/Dalbergia cochinchinensis.3280.10 (30).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.10 (30).png
Dalbergia melanoxylon/sub_032/3352. Dalbergia melanoxylon.1.(30).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.1.(30).png
Afzelia quanzensis/sub_010/146.png,train/Afzelia quanzensis/146.png
Pterocarpus soyauxii/sub_031/117_2.png,train/Pterocarpus soyauxii/117_2.png
Dalbergia tonkinensis/sub_015/3353. Dalbergia tonkinensis.10.(300).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.10.(300).png
Dalbergia rimosa/sub_036/3414. Dalbergia rimosa.1(10).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.1(10).png
Afzelia africana/sub_027/doussie1.png,train/Afzelia africana/doussie1.png
Afzelia quanzensis/sub_029/116.png,train/Afzelia quanzensis/116.png
Guibourtia coleosperma/sub_066/Guibourtia coleosperma_3253.1 (20).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.1 (20).png
Guibourtia arnoldiana/sub_024/3411. Guibourtia arnoldiana.2 (54).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.2 (54).png
Pterocarpus soyauxii/sub_034/122_1.png,train/Pterocarpus soyauxii/122_1.png
Guibourtia coleosperma/sub_031/Guibourtia coleosperma_3253.7 (24).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.7 (24).png
Afzelia bella/sub_031/Afzelia bella_QUAV174_(317).png,train/Afzelia bella/Afzelia bella_QUAV174_(317).png
Peltogyne pubescens/sub_026/3377. Peltogyne pubescens.6 (199).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.6 (199).png
Dalbergia cochinchinensis/sub_021/Dalbergia cochinchinensis.3280.3 (20).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.3 (20).png
Pterocarpus sp/sub_058/123_5.png,train/Pterocarpus sp/123_5.png
Sindora cochinchinensis/sub_031/gụ34.png,train/Sindora cochinchinensis/gụ34__a4e73076.png
Sindora cochinchinensis/sub_002/gụ68.png,train/Sindora cochinchinensis/gụ68.png
Pterocarpus erinaceus/sub_054/3403. Pterocarpus erinaceus.7 (204).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.7 (204).png
Guibourtia coleosperma/sub_023/Guibourtia coleosperma_3253.11 (9).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.11 (9).png
Pterocarpus sp/sub_006/159_3.png,train/Pterocarpus sp/159_3.png
Dalbergia melanoxylon/sub_054/3352. Dalbergia melanoxylon.8.(209).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.8.(209).png
Dalbergia cochinchinensis/sub_014/Dalbergia cochinchinensis.3280.7 (12).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.7 (12).png
Sindora cochinchinensis/sub_005/gụ100.png,train/Sindora cochinchinensis/gụ100.png
Dalbergia oliveri/sub_009/Dalbergia oliveri_3237.1_ (32).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.1_ (32).png
Afzelia pachyloba/sub_036/5.3_1_1.png,train/Afzelia pachyloba/5.3_1_1.png
Pterocarpus erinaceus/sub_022/3403. Pterocarpus erinaceus.2 (57).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.2 (57).png
Afzelia bella/sub_002/Afzelia bella_QUAV174_(315).png,train/Afzelia bella/Afzelia bella_QUAV174_(315).png
Guibourtia ehie/sub_003/Guibourtia ehie_SXGM640_8_(303).png,train/Guibourtia ehie/Guibourtia ehie_SXGM640_8_(303).png
Sindora cochinchinensis/sub_028/gụ73_1.png,train/Sindora cochinchinensis/gụ73_1.png
Afzelia bella/sub_011/Afzelia bella_OGHV743_(207).png,train/Afzelia bella/Afzelia bella_OGHV743_(207).png
Dalbergia tonkinensis/sub_020/3353. Dalbergia tonkinensis.6.(191).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.6.(191).png
Guibourtia coleosperma/sub_011/Guibourtia coleosperma_3253.11 (21).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.11 (21).png
Dalbergia rimosa/sub_020/3414. Dalbergia rimosa.5 (144).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.5 (144).png
Guibourtia ehie/sub_015/Guibourtia ehie_SXGM640_8_(298).png,train/Guibourtia ehie/Guibourtia ehie_SXGM640_8_(298).png
Guibourtia arnoldiana/sub_026/3411. Guibourtia arnoldiana.1 (2).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.1 (2).png
Pterocarpus sp/sub_074/120.png,train/Pterocarpus sp/120.png
Dalbergia melanoxylon/sub_001/3352. Dalbergia melanoxylon.1.(22).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.1.(22).png
Dalbergia tonkinensis/sub_068/3353. Dalbergia tonkinensis.1.(20).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.1.(20).png
Afzelia africana/sub_028/doussie4_1.png,train/Afzelia africana/doussie4_1.png
Guibourtia arnoldiana/sub_006/3411. Guibourtia arnoldiana.7 (206).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.7 (206).png
Dalbergia rimosa/sub_016/3414. Dalbergia rimosa.2 (48).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (48).png
Guibourtia coleosperma/sub_018/Guibourtia coleosperma_3253.9 (15).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (15).png
Dalbergia rimosa/sub_009/3414. Dalbergia rimosa.5 (122).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.5 (122).png
Afzelia bella/sub_017/Afzelia bella_QUAV174_(314).png,train/Afzelia bella/Afzelia bella_QUAV174_(314).png
Guibourtia arnoldiana/sub_009/3411. Guibourtia arnoldiana.10 (301).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.10 (301).png
Dalbergia rimosa/sub_059/3414. Dalbergia rimosa.2 (33).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (33).png
Dalbergia cochinchinensis/sub_002/Dalbergia cochinchinensis.3280.9 (34).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.9 (34).png
Dalbergia oliveri/sub_027/Dalbergia oliveri_3237.2_ (4).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.2_ (4).png
Pterocarpus soyauxii/sub_066/157.png,train/Pterocarpus soyauxii/157.png
Guibourtia coleosperma/sub_086/Guibourtia coleosperma_3253.9 (35).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (35).png
Pterocarpus soyauxii/sub_025/150_1.png,train/Pterocarpus soyauxii/150_1.png
Pterocarpus macrocarpus/sub_015/138_4.png,train/Pterocarpus macrocarpus/138_4.png
Afzelia bella/sub_019/Afzelia bella_AMRX692_(53).png,train/Afzelia bella/Afzelia bella_AMRX692_(53).png
Dalbergia rimosa/sub_066/3414. Dalbergia rimosa.1(28).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.1(28).png
Pterocarpus erinaceus/sub_004/3403. Pterocarpus erinaceus.1(10).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.1(10).png
Dalbergia melanoxylon/sub_009/3352. Dalbergia melanoxylon.5.(135).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.5.(135).png
Guibourtia coleosperma/sub_027/Guibourtia coleosperma_3253.1 (9).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.1 (9).png
Afzelia quanzensis/sub_001/11.png,train/Afzelia quanzensis/11.png
Peltogyne pubescens/sub_035/3377. Peltogyne pubescens.6 (213).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.6 (213).png
Pterocarpus soyauxii/sub_044/111.png,train/Pterocarpus soyauxii/111__71889068.png
Dalbergia tonkinensis/sub_010/3353. Dalbergia tonkinensis.8.(240).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.8.(240).png
Pterocarpus macrocarpus/sub_048/137.png,train/Pterocarpus macrocarpus/137.png
Dalbergia oliveri/sub_019/Dalbergia oliveri_3237.7_ (25).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.7_ (25).png
Dalbergia tonkinensis/sub_001/3353. Dalbergia tonkinensis.1.(1).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.1.(1).png
Dalbergia tonkinensis/sub_006/3353. Dalbergia tonkinensis.10.(317).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.10.(317).png
Pterocarpus erinaceus/sub_024/3403. Pterocarpus erinaceus.7 (230).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.7 (230).png
Dalbergia rimosa/sub_019/3414. Dalbergia rimosa.2 (46).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (46).png
Peltogyne pubescens/sub_036/3377. Peltogyne pubescens.8 (288).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.8 (288).png
Afzelia africana/sub_016/doussie30.png,train/Afzelia africana/doussie30.png
Pterocarpus erinaceus/sub_015/3403. Pterocarpus erinaceus.3 (95).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.3 (95).png
Afzelia bella/sub_006/Afzelia bella_QUAV174_(289).png,train/Afzelia bella/Afzelia bella_QUAV174_(289).png
Dalbergia oliveri/sub_063/Dalbergia oliveri_3237.6_ (1).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.6_ (1).png
Dalbergia tonkinensis/sub_010/3353. Dalbergia tonkinensis.2.(39).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.2.(39).png
Dalbergia melanoxylon/sub_040/3352. Dalbergia melanoxylon.1.(29).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.1.(29).png
Guibourtia coleosperma/sub_055/Guibourtia coleosperma_3253.3 (32).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.3 (32).png
Afzelia africana/sub_019/doussie78.png,train/Afzelia africana/doussie78.png
Dalbergia oliveri/sub_042/Dalbergia oliveri_3237.5_ (17).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.5_ (17).png
Afzelia quanzensis/sub_016/17_3.png,train/Afzelia quanzensis/17_3__3b73d655.png
Dalbergia tonkinensis/sub_032/3353. Dalbergia tonkinensis.7.(198).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.7.(198).png
Peltogyne pubescens/sub_025/3377. Peltogyne pubescens.7 (247).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.7 (247).png
Dalbergia rimosa/sub_007/3414. Dalbergia rimosa.2 (37).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (37).png
Pterocarpus erinaceus/sub_007/3403. Pterocarpus erinaceus.2 (50).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.2 (50).png
Guibourtia arnoldiana/sub_001/3411. Guibourtia arnoldiana.10 (318).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.10 (318).png
Guibourtia coleosperma/sub_023/Guibourtia coleosperma_3253.10 (1).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.10 (1).png
Afzelia quanzensis/sub_039/126.png,train/Afzelia quanzensis/126.png
Guibourtia coleosperma/sub_070/Guibourtia coleosperma_3253.6 (10).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.6 (10).png
Pterocarpus erinaceus/sub_021/3403. Pterocarpus erinaceus.4 (112).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.4 (112).png
Dalbergia tonkinensis/sub_001/3353. Dalbergia tonkinensis.8.(232).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.8.(232).png
Pterocarpus indicus/sub_007/3395. Pterocarpus indicus.9 (254).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.9 (254).png
Sindora cochinchinensis/sub_063/gụ99.png,train/Sindora cochinchinensis/gụ99.png
Afzelia bella/sub_055/Afzelia bella_LYSV052_(194).png,train/Afzelia bella/Afzelia bella_LYSV052_(194).png
Dalbergia tonkinensis/sub_018/3353. Dalbergia tonkinensis.6.(184).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.6.(184).png
Guibourtia coleosperma/sub_063/Guibourtia coleosperma_3253.2 (14).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.2 (14).png
Pterocarpus macrocarpus/sub_020/11_3.png,train/Pterocarpus macrocarpus/11_3.png
Dalbergia rimosa/sub_006/3414. Dalbergia rimosa.5 (126).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.5 (126).png
Pterocarpus indicus/sub_038/3395. Pterocarpus indicus.6 (163).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.6 (163).png
Peltogyne pubescens/sub_015/3377. Peltogyne pubescens.5 (157).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.5 (157).png
Pterocarpus sp/sub_015/137_1.png,train/Pterocarpus sp/137_1.png
Afzelia quanzensis/sub_005/12_3.png,train/Afzelia quanzensis/12_3.png
Dalbergia tonkinensis/sub_014/3353. Dalbergia tonkinensis.7.(223).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.7.(223).png
Afzelia bella/sub_039/Afzelia bella_QUAV174_(320).png,train/Afzelia bella/Afzelia bella_QUAV174_(320).png
Pterocarpus soyauxii/sub_056/117.png,train/Pterocarpus soyauxii/117__99adbd50.png
Guibourtia ehie/sub_076/Guibourtia ehie_SXGM640_8_(306).png,train/Guibourtia ehie/Guibourtia ehie_SXGM640_8_(306).png
Peltogyne pubescens/sub_037/3377. Peltogyne pubescens.2 (73).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.2 (73).png
Pterocarpus sp/sub_036/117.png,train/Pterocarpus sp/117.png
Dalbergia melanoxylon/sub_027/3352. Dalbergia melanoxylon.2 (32).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.2 (32).png
Guibourtia coleosperma/sub_032/Guibourtia coleosperma_3253.7 (17).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.7 (17).png
Pterocarpus soyauxii/sub_050/112_3.png,train/Pterocarpus soyauxii/112_3.png
Guibourtia coleosperma/sub_004/Guibourtia coleosperma_3253.11 (15).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.11 (15).png
Dalbergia tonkinensis/sub_006/3353. Dalbergia tonkinensis.10.(322).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.10.(322).png
Pterocarpus soyauxii/sub_020/146_1.png,train/Pterocarpus soyauxii/146_1.png
Pterocarpus soyauxii/sub_002/164_1.png,train/Pterocarpus soyauxii/164_1.png
Pterocarpus indicus/sub_023/3395. Pterocarpus indicus.2 (47).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.2 (47).png
Afzelia pachyloba/sub_039/6.4_1.png,train/Afzelia pachyloba/6.4_1.png
Pterocarpus sp/sub_041/148_2.png,train/Pterocarpus sp/148_2.png
Dalbergia tonkinensis/sub_023/3353. Dalbergia tonkinensis.7.(203).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.7.(203).png
Guibourtia ehie/sub_077/Guibourtia ehie_FEHC134_2_(59).png,train/Guibourtia ehie/Guibourtia ehie_FEHC134_2_(59).png
Pterocarpus sp/sub_027/110_1.png,train/Pterocarpus sp/110_1.png
Guibourtia arnoldiana/sub_002/3411. Guibourtia arnoldiana.3 (80).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.3 (80).png
Peltogyne pubescens/sub_003/3377. Peltogyne pubescens.5 (184).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.5 (184).png
Pterocarpus indicus/sub_016/3395. Pterocarpus indicus.9 (265).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.9 (265).png
Pterocarpus erinaceus/sub_038/3403. Pterocarpus erinaceus.7 (220).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.7 (220).png
Pterocarpus sp/sub_018/140.png,train/Pterocarpus sp/140.png
Guibourtia coleosperma/sub_021/Guibourtia coleosperma_3253.9 (8).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (8).png
Dalbergia cochinchinensis/sub_008/Dalbergia cochinchinensis.3280.7 (28).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.7 (28).png
Pterocarpus erinaceus/sub_060/3403. Pterocarpus erinaceus.3 (90).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.3 (90).png
Sindora tonkinensis/sub_078/3381. Sindora tonkinensis.8 (240).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.8 (240).png
Dalbergia tonkinensis/sub_022/3353. Dalbergia tonkinensis.7.(215).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.7.(215).png
Guibourtia arnoldiana/sub_013/3411. Guibourtia arnoldiana.5 (152).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.5 (152).png
Sindora cochinchinensis/sub_052/gụ48.png,train/Sindora cochinchinensis/gụ48__35ff0536.png
Afzelia quanzensis/sub_009/156_1.png,train/Afzelia quanzensis/156_1.png
Pterocarpus soyauxii/sub_035/155.png,train/Pterocarpus soyauxii/155.png
Guibourtia ehie/sub_056/Guibourtia ehie_KREW954_4_(139).png,train/Guibourtia ehie/Guibourtia ehie_KREW954_4_(139).png
Dalbergia cochinchinensis/sub_047/Dalbergia cochinchinensis.3280.3 (12).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.3 (12).png
Pterocarpus indicus/sub_008/3395. Pterocarpus indicus.2 (42).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.2 (42).png
Guibourtia coleosperma/sub_039/Guibourtia coleosperma_3253.9 (28).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.9 (28).png
Dalbergia melanoxylon/sub_018/3352. Dalbergia melanoxylon.10.(283).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.10.(283).png
Guibourtia ehie/sub_048/Guibourtia ehie_TLYO895_9_(354).png,train/Guibourtia ehie/Guibourtia ehie_TLYO895_9_(354).png
Peltogyne pubescens/sub_009/3377. Peltogyne pubescens.10 (354).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.10 (354).png
Guibourtia ehie/sub_037/Guibourtia ehie_SXGM640_8_(286).png,train/Guibourtia ehie/Guibourtia ehie_SXGM640_8_(286).png
Afzelia bella/sub_013/Afzelia bella_OGHV743_(216).png,train/Afzelia bella/Afzelia bella_OGHV743_(216).png
Dalbergia melanoxylon/sub_038/3352. Dalbergia melanoxylon.1.(6).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.1.(6).png
Afzelia bella/sub_006/Afzelia bella_OGHV743_(214).png,train/Afzelia bella/Afzelia bella_OGHV743_(214).png
Guibourtia coleosperma/sub_061/Guibourtia coleosperma_3253.4 (19).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.4 (19).png
Dalbergia melanoxylon/sub_021/3352. Dalbergia melanoxylon.5.(129).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.5.(129).png
Afzelia africana/sub_006/doussie52.png,train/Afzelia africana/doussie52.png
Guibourtia ehie/sub_028/Guibourtia ehie_KREW954_4_(135).png,train/Guibourtia ehie/Guibourtia ehie_KREW954_4_(135).png
Guibourtia arnoldiana/sub_048/3411. Guibourtia arnoldiana.8 (237).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.8 (237).png
Guibourtia ehie/sub_003/Guibourtia ehie_FEHC134_2_(50).png,train/Guibourtia ehie/Guibourtia ehie_FEHC134_2_(50).png
Pterocarpus erinaceus/sub_016/3403. Pterocarpus erinaceus.5 (158).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.5 (158).png
Pterocarpus soyauxii/sub_018/123.png,train/Pterocarpus soyauxii/123.png
Dalbergia tonkinensis/sub_025/3353. Dalbergia tonkinensis.8.(254).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.8.(254).png
Pterocarpus macrocarpus/sub_033/110_2.png,train/Pterocarpus macrocarpus/110_2.png
Sindora cochinchinensis/sub_038/gụ62_1_1.png,train/Sindora cochinchinensis/gụ62_1_1.png
Dalbergia tonkinensis/sub_045/3353. Dalbergia tonkinensis.2.(34).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.2.(34).png
Dalbergia rimosa/sub_055/3414. Dalbergia rimosa.2 (57).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (57).png
Dalbergia melanoxylon/sub_008/3352. Dalbergia melanoxylon.3.(66).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.3.(66).png
Afzelia africana/sub_009/doussie41_1.png,train/Afzelia africana/doussie41_1.png
Guibourtia ehie/sub_021/Guibourtia ehie_PVFM153_6_(226).png,train/Guibourtia ehie/Guibourtia ehie_PVFM153_6_(226).png
Pterocarpus sp/sub_039/123_2.png,train/Pterocarpus sp/123_2.png
Afzelia pachyloba/sub_036/3.4.png,train/Afzelia pachyloba/3.4.png
Guibourtia arnoldiana/sub_045/3411. Guibourtia arnoldiana.6 (183).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.6 (183).png
Sindora tonkinensis/sub_074/3381. Sindora tonkinensis.10 (302).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.10 (302).png
Dalbergia rimosa/sub_058/3414. Dalbergia rimosa.10 (296).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.10 (296).png
Dalbergia cochinchinensis/sub_042/Dalbergia cochinchinensis.3280.8 (7).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.8 (7).png
Guibourtia ehie/sub_056/Guibourtia ehie_CHYX256_1_(20).png,train/Guibourtia ehie/Guibourtia ehie_CHYX256_1_(20).png
Dalbergia cochinchinensis/sub_014/Dalbergia cochinchinensis.3280.7 (26).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.7 (26).png
Guibourtia arnoldiana/sub_026/3411. Guibourtia arnoldiana.2 (51).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.2 (51).png
Pterocarpus macrocarpus/sub_050/147.png,train/Pterocarpus macrocarpus/147.png
Pterocarpus indicus/sub_001/3395. Pterocarpus indicus.7 (200).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.7 (200).png
Dalbergia cochinchinensis/sub_004/Dalbergia cochinchinensis.3280.9 (25).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.9 (25).png
Afzelia bella/sub_063/Afzelia bella_HYBT691_(143).png,train/Afzelia bella/Afzelia bella_HYBT691_(143).png
Afzelia africana/sub_075/doussie26.png,train/Afzelia africana/doussie26.png
Afzelia bella/sub_061/Afzelia bella_QCYD170_(254).png,train/Afzelia bella/Afzelia bella_QCYD170_(254).png
Dalbergia cochinchinensis/sub_003/Dalbergia cochinchinensis.3280.5 (18).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.5 (18).png
Afzelia bella/sub_005/Afzelia bella_LYSV052_(162).png,train/Afzelia bella/Afzelia bella_LYSV052_(162).png
Dalbergia cochinchinensis/sub_011/Dalbergia cochinchinensis.3280.4 (35).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.4 (35).png
Dalbergia tonkinensis/sub_023/3353. Dalbergia tonkinensis.2.(43).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.2.(43).png
Afzelia quanzensis/sub_017/112_2.png,train/Afzelia quanzensis/112_2.png
Dalbergia tonkinensis/sub_002/3353. Dalbergia tonkinensis.9.(283).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.9.(283).png
Guibourtia ehie/sub_023/Guibourtia ehie_QAMZ768_7_(270).png,train/Guibourtia ehie/Guibourtia ehie_QAMZ768_7_(270).png
Guibourtia arnoldiana/sub_016/3411. Guibourtia arnoldiana.4 (107).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.4 (107).png
Pterocarpus macrocarpus/sub_064/113_3.png,train/Pterocarpus macrocarpus/113_3.png
Pterocarpus soyauxii/sub_038/153_1.png,train/Pterocarpus soyauxii/153_1.png
Guibourtia ehie/sub_064/Guibourtia ehie_PVFM153_6_(239).png,train/Guibourtia ehie/Guibourtia ehie_PVFM153_6_(239).png
Dalbergia oliveri/sub_036/Dalbergia oliveri_3237.10_ (21).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.10_ (21).png
Sindora tonkinensis/sub_014/3381. Sindora tonkinensis.4 (121).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.4 (121).png
Pterocarpus macrocarpus/sub_079/110.png,train/Pterocarpus macrocarpus/110.png
Pterocarpus sp/sub_079/125_5.png,train/Pterocarpus sp/125_5.png
Pterocarpus indicus/sub_024/3395. Pterocarpus indicus.8 (225).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.8 (225).png
Dalbergia rimosa/sub_027/3414. Dalbergia rimosa.1(6).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.1(6).png
Dalbergia melanoxylon/sub_040/3352. Dalbergia melanoxylon.9.(253).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.9.(253).png
Peltogyne pubescens/sub_011/3377. Peltogyne pubescens.7 (222).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.7 (222).png
Dalbergia tonkinensis/sub_063/3353. Dalbergia tonkinensis.4.(96).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.4.(96).png
